Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
205200.0,-3990127.074687948,2432966.4925891776,0.0,6.484369189787228,10.666808331095927,0.0,324339772.58548945,-197478619.01657543,0.0,-526.3223580932489,-864.4675693920242,0.0
208800.0,-3966599.6611320395,2471255.152043803,0.0,6.58641492424011,10.60466714566462,0.0,322430111.83668494,-200581565.22927526,0.0,-534.592241495264,-859.3783730431057,0.0
212400.0,-3942705.9647288607,2509318.345975291,0.0,6.687859641233897,10.541549718672943,0.0,320490767.87443155,-203666047.79173347,0.0,-542.8129072275639,-854.2100636807235,0.0
216000.0,-3918448.1659564134,2547152.5703778565,0.0,6.788693999129438,10.477461863548248,0.0,318521919.2463069,-206731782.75179744,0.0,-550.9835982829251,-848.9631173327214,0.0
219600.0,-3893828.4788214155,2584754.342335074,0.0,6.888908712503351,10.412409483173258,0.0,316523747.21685,-209778487.88407585,0.0,-559.1035622570075,-843.6380172758306,0.0
223200.0,-3868849.1506553795,2622120.2003409415,0.0,6.988494553006127,10.346398569342979,0.0,314496435.7508657,-212805882.71595484,0.0,-567.1720514178886,-838.2352539912046,0.0
226800.0,-3843512.4619076108,2659246.704618969,0.0,7.0874423502149995,10.279435202213353,0.0,312440171.49647945,-215813688.55345297,0.0,-575.1883227751686,-832.7553251192834,0.0
230400.0,-3817820.725935146,2696130.437439273,0.0,7.185742992481502,10.211525549741706,0.0,310355143.76794404,-218801628.50691223,0.0,-583.1516381486409,-827.1987354139939,0.0
234000.0,-3791776.2887896514,2732768.003433639,0.0,7.283387427773628,10.14267586711902,0.0,308241544.52820003,-221769427.51652336,0.0,-591.0612642365214,-821.5659966962877,0.0
237600.0,-3765381.529001294,2769156.029908526,0.0,7.380366664512523,10.072892496194111,0.0,306099568.3711912,-224716812.37768233,0.0,-598.916472683229,-815.8576278070229,0.0
241200.0,-3738638.857359618,2805291.1671559843,0.0,7.476671772403611,10.002181864889744,0.0,303929412.503937,-227643511.76617637,0.0,-606.7165401467122,-810.0741545591927,0.0
244800.0,-3711550.716691432,2841170.088762455,0.0,7.572293883262107,9.930550486610745,0.0,301731276.7283632,-230549256.26319656,0.0,-614.4607483653151,-804.2161096895055,0.0
248400.0,-3684119.581635741,2876789.491915428,0.0,7.667224191832812,9.858004959644159,0.0,299505363.422893,-233433778.38017517,0.0,-622.1483842241762,-798.2840328093221,0.0
252000.0,-3656347.958415733,2912146.0977079216,0.0,7.761453956604122,9.784551966551527,0.0,297251877.5237995,-236296812.58344513,0.0,-629.7787398211541,-792.2784703549521,0.0
255600.0,-3628238.3846078482,2947236.6514407652,0.0,7.854974500616177,9.71019827355331,0.0,294971026.50632226,-239138095.31871933,0.0,-637.3511125322736,-786.1999755373171,0.0
259200.0,-3599793.428907947,2982057.922922647,0.0,7.947777212263075,9.634950729905537,0.0,292663020.3655487,-241957365.03538775,0.0,-644.8648050766867,-780.0491082909817,0.0
262800.0,-3571015.6908946056,3016606.7067679083,0.0,8.039853546089065,9.558816267268732,0.0,290328071.5970625,-244754362.2106299,0.0,-652.319125581141,-773.8264352225611,0.0
266400.0,-3541907.80078955,3050879.822692048,0.0,8.131195023578655,9.481801899069165,0.0,287966395.1773613,-247528829.3733404,0.0,-659.7133876439509,-767.5325295585061,0.0
270000.0,-3512472.419215262,3084874.1158049167,0.0,8.221793233940563,9.403914719852501,0.0,285578208.54404426,-250280511.12786537,0.0,-667.0469103984655,-761.167971092273,0.0
273600.0,-3482712.2369497716,3118586.456901571,0.0,8.311639834885414,9.3251619046299,0.0,283163731.57577276,-253009154.17754775,0.0,-674.3190185760249,-754.7333461308822,0.0
277200.0,-3452629.974678662,3152013.7427507555,0.0,8.400726553397146,9.24555070821662,0.0,280723186.57200503,-255714507.34807903,0.0,-681.5290425684028,-748.2292474408705,0.0
280800.0,-3422228.382744308,3185152.8963809977,0.0,8.489045186498018,9.165088464563203,0.0,278256798.23250693,-258396321.6106552,0.0,-688.6763184897264,-741.6562741936419,0.0
284400.0,-3391510.2408923726,3218000.867364275,0.0,8.576587602007171,9.08378258607929,0.0,275764793.6366407,-261054350.1049351,0.0,-695.7601882378685,-735.0150319102225,0.0
288000.0,-3360478.3580155848,3250554.632097237,0.0,8.663345739292655,9.001640562950122,0.0,273247402.2224341,-263688348.16179878,0.0,-702.779999555307,-728.3061324054241,0.0
291600.0,-3329135.5718948217,3282811.194079957,0.0,8.749311610016866,8.918669962445819,0.0,270704855.7654307,-266298073.3259036,0.0,-709.7351060894451,-721.5301937314216,0.0
295200.0,-3297484.7489375197,3314767.5841921796,0.0,8.834477298875305,8.83487842822346,0.0,268137388.3573246,-268883285.3780364,0.0,-716.6248674523872,-714.6878401207498,0.0
298800.0,-3265528.783913436,3346420.8609670443,0.0,8.918834964328605,8.750273679622069,0.0,265545236.38438085,-271443746.3572592,0.0,-723.4486492801631,-707.7797019287245,0.0
302400.0,-3233270.5996877905,3377768.1108622598,0.0,9.002376839327754,8.664863510950537,0.0,262928638.50564328,-273979220.582847,0.0,-730.2058232913978,-700.8064155752938,0.0
306000.0,-3200713.1469518063,3408806.448528701,0.0,9.085095232032428,8.578655790768574,0.0,260287835.63093257,-276489474.6760146,0.0,-736.8957673454191,-693.7686234863236,0.0
309600.0,-3167859.4039506787,3439533.0170764048,0.0,9.166982526522396,8.49165846116073,0.0,257623070.89863595,-278974277.58143157,0.0,-743.5178654997978,-686.6669740343247,0.0
313200.0,-3134712.376208994,3469944.9883379415,0.0,9.248031183501904,8.403879537003586,0.0,254934589.6532908,-281433400.58852255,0.0,-750.0715080673164,-679.502121478625,0.0
316800.0,-3101275.0962536274,3500039.5631291335,0.0,9.328233740996984,8.315327105226146,0.0,252222639.42296422,-283866617.3525514,0.0,-756.5560916723587,-672.2747259049943,0.0
320400.0,-3067550.6233341405,3529813.9715071013,0.0,9.407582815045618,8.226009324063526,0.0,249487469.89643055,-286273703.91548675,0.0,-762.9710193067176,-664.9854531647252,0.0
324000.0,-3033542.0431407113,3559265.473025611,0.0,9.4860711003807,8.135934422303999,0.0,246729332.90014935,-288654438.72664756,0.0,-769.3157003848135,-657.6349748131775,0.0
327600.0,-2999252.4675196144,3588391.3569876975,0.0,9.56369137110571,8.045110698529463,0.0,243948482.37504518,-291008602.6631262,0.0,-775.5895507983192,-650.2239680477904,0.0
331200.0,-2964685.034186284,3617188.9426955427,0.0,9.640436481363066,7.953546520349403,0.0,241145174.35309222,-293335979.0499876,0.0,-781.7919929701865,-642.7531156455703,0.0
334800.0,-2929842.906435985,3645655.579697585,0.0,9.716299365995066,7.861250323628427,0.0,238319666.93370533,-295636353.6802426,0.0,-787.9224559080677,-635.2231059000569,0.0
338400.0,-2894729.2728521167,3673788.6480328357,0.0,9.79127304119737,7.768230611707438,0.0,235472220.25993982,-297909514.83459294,0.0,-793.9803752571296,-627.6346325577761,0.0
342000.0,-2859347.3470121766,3701585.55847238,0.0,9.865350605164949,7.674495954618513,0.0,232603096.49450225,-300155253.30094695,0.0,-799.965193352252,-619.9883947541848,0.0
345600.0,-2823700.3671914167,3729043.752758042,0.0,9.938525238730463,7.580054988293576,0.0,229712559.79557452,-302373362.3937037,0.0,-805.8763592696083,-612.2850969491132,0.0
349200.0,-2787791.5960642095,3756160.703838187,0.0,10.010790205994983,7.484916413766916,0.0,226800876.2924532,-304563637.97280383,0.0,-811.713328877622,-604.5254488617103,0.0
352800.0,-2751624.320403162,3782933.916100645,0.0,10.082138854951,7.389088996371647,0.0,223868314.06100675,-306725878.4625451,0.0,-817.4755648872938,-596.7101654049002,0.0
356400.0,-2715201.8507759986,3809360.925602729,0.0,10.152564618097678,7.2925815649301695,0.0,220915143.09895253,-308859884.8701615,0.0,-823.1625369018965,-588.8399666193534,0.0
360000.0,-2678527.5212402437,3835439.300298329,0.0,10.222061013048284,7.195403010938716,0.0,217941635.3009562,-310965460.8041633,0.0,-828.7737214660308,-580.9155776069805,0.0
363600.0,-2641604.6890357314,3861166.6402620585,0.0,10.290621643129729,7.097562287746052,0.0,214948064.43355548,-313042412.49243724,0.0,-834.3086021140386,-572.9377284639536,0.0
367200.0,-2604436.7342749727,3886540.5779104354,0.0,10.358240197974173,6.999068409726408,0.0,211934706.1099111,-315090548.80010474,0.0,-839.7666694177693,-564.9071542132629,0.0
370800.0,-2567027.0596314045,3911558.778220075,0.0,10.42491045410264,6.89993045144673,0.0,208901837.7643866,-317109681.24713606,0.0,-845.1474210336933,-556.8245947368131,0.0
374400.0,-2529379.0900255544,3936218.9389428757,0.0,10.490626275500585,6.800157546828315,0.0,205849738.62695995,-319099624.02571976,0.0,-850.4503617493597,-548.6907947070675,0.0
