Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
2498400.0,-4229603.065265591,1684931.6813161809,0.0,4.480508525072163,11.631567073514855,0.0,354954390.7910089,-136802131.30830312,0.0,-363.8191032086553,-943.6420457868048,0.0
2502000.0,-4213273.154151727,1726728.1707968481,0.0,4.59166350225121,11.58870269336453,0.0,353628400.36445826,-140192921.64959216,0.0,-372.83668837509737,-940.1161511697026,0.0
2505600.0,-4196543.83301942,1768368.436449345,0.0,4.702402958946262,11.544776065693936,0.0,352270007.8994123,-143570863.5603187,0.0,-381.8200998469399,-936.5040826651472,0.0
2509200.0,-4179416.6160181426,1809848.661431073,0.0,4.812716742046219,11.499791217634414,0.0,350879337.90466493,-146935647.4082214,0.0,-390.7685139827327,-932.8061714241454,0.0
2512800.0,-4161893.053778397,1851165.04357188,0.0,4.922594737427848,11.453752273413194,0.0,349456517.8483719,-150286964.76736918,0.0,-399.68111034656937,-929.0227564741641,0.0
2516400.0,-4143974.7332696784,1892313.7957229288,0.0,5.032026870885479,11.406663453976988,0.0,348001678.14637464,-153624508.4464611,0.0,-408.5570717835036,-925.1541846881838,0.0
2520000.0,-4125663.2776551084,1933291.1461041924,0.0,5.141003109057088,11.358529076606647,0.0,346514952.1502537,-156947972.51701343,0.0,-417.3955844946689,-921.2008107530287,0.0
2523600.0,-4106960.3461427363,1974093.3386505484,0.0,5.249513460346677,11.30935355452293,0.0,344996476.13511205,-160257052.3414312,0.0,-426.195838112094,-917.1629971369757,0.0
2527200.0,-4087867.633833528,2014716.6333564366,0.0,5.357547975842873,11.259141396483422,0.0,343446389.28708965,-163551444.60096228,0.0,-434.95702577320725,-913.0411140566446,0.0
2530800.0,-4068386.871566055,2055157.3066190504,0.0,5.465096750233658,11.20789720637062,0.0,341864833.69061035,-166830847.3235306,0.0,-443.67834419502356,-908.8355394431728,0.0
2534400.0,-4048519.8257578975,2095411.6515800294,0.0,5.572149922717145,11.155625682771245,0.0,340251954.3153625,-170094959.9114465,0.0,-452.3589937480061,-904.5466589076785,0.0
2538000.0,-4028268.2982437755,2135475.978465621,0.0,5.678697677908309,11.102331618546808,0.0,338607899.00301385,-173343483.16899145,0.0,-460.9981785295968,-900.1748657060134,0.0
2541600.0,-4007634.1261104234,2175346.614925282,0.0,5.7847302467415975,11.04801990039546,0.0,336932818.45366263,-176576119.3298745,0.0,-469.5951064374078,-895.72056070281,0.0
2545200.0,-3986619.181528223,2215019.9063686854,0.0,5.890237907369337,10.99269550840518,0.0,335226866.2120259,-179792572.0845582,0.0,-478.14898924206807,-891.184152334826,0.0
2548800.0,-3965225.37157961,2254492.2163011045,0.0,5.995210986055836,10.936363515598337,0.0,333490198.65336585,-182992546.60745117,0.0,-486.65904265971744,-886.5660565735885,0.0
2552400.0,-3943454.6380842673,2293759.9266571417,0.0,6.099639858067126,10.879029087467655,0.0,331722974.96915615,-186175749.58396506,0.0,-495.1244864241422,-881.8666968873426,0.0
2556000.0,-3921308.9574211286,2332819.43813277,0.0,6.203514948556228,10.820697481503641,0.0,329925357.1524891,-189341889.23743314,0.0,-503.5445443585448,-877.0865042023066,0.0
2559600.0,-3898790.3403471974,2371667.1705156607,0.0,6.306826733443897,10.761374046713506,0.0,328097509.98322517,-192490675.35588813,0.0,-511.91844444694095,-872.225916863238,0.0
2563200.0,-3875900.8318132074,2410299.563013762,0.0,6.409565740294724,10.701064223131626,0.0,326239601.01288587,-195621819.31869715,0.0,-520.2454189051784,-867.2853805933139,0.0
2566800.0,-3852642.510776135,2448713.0745820985,0.0,6.511722549188547,10.639773541321587,0.0,324351800.5492922,-198735034.12305057,0.0,-528.5247042515697,-862.2653484533288,0.0
2570400.0,-3829017.490008586,2486904.1842477685,0.0,6.613287793587068,10.577507621869858,0.0,322434281.6409492,-201830034.41030312,0.0,-536.7555413771322,-857.1662808002139,0.0
2574000.0,-3805027.9159050677,2524869.3914330974,0.0,6.714252161195602,10.514272174871143,0.0,320487220.0611781,-204906536.49216422,0.0,-544.9371756154303,-851.9886452448823,0.0
2577600.0,-3780675.9682851722,2562605.216276927,0.0,6.814606394819883,10.450072999405451,0.0,318510794.2919983,-207964258.37673548,0.0,-553.0688568120119,-846.732916609402,0.0
2581200.0,-3755963.860193679,2600108.1999540064,0.0,6.914341293217835,10.38491598300693,0.0,316505185.50776,-211002919.79439268,0.0,-561.1498393934326,-841.3995768835028,0.0
2584800.0,-3730893.8376976056,2637374.904992456,0.0,7.013447711946242,10.318807101124527,0.0,314470577.55852836,-214022242.22351015,0.0,-569.1793824358622,-835.9891151804203,0.0
2588400.0,-3705468.1796802147,2674401.915589276,0.0,7.111916564202221,10.251752416574504,0.0,312407156.95322275,-217021948.9160249,0.0,-577.1567497332665,-830.502027692079,0.0
2592000.0,-3679689.1976320054,2711185.837923867,0.0,7.2097388216594425,10.183758078984878,0.0,310315112.84251016,-220001764.92283824,0.0,-585.0812098651573,-824.9388176436223,0.0
2595600.0,-3653559.2354387017,2747723.3004695415,0.0,7.306905515298992,10.114830324231823,0.0,308194637.001456,-222961417.11905253,0.0,-592.9520362639064,-819.2999952472908,0.0
2599200.0,-3627080.6691662585,2784010.954302984,0.0,7.40340773623482,10.044975473868082,0.0,306045923.8119336,-225900634.2290407,0.0,-600.7685072816137,-813.5860776556533,0.0
2602800.0,-3600255.90684291,2820045.473411646,0.0,7.499236636533689,9.974199934543456,0.0,303869170.24479294,-228819146.85134643,0.0,-608.5299062565276,-807.7975889141959,0.0
2606400.0,-3573087.3882382717,2855823.554999039,0.0,7.5943834300295405,9.90251019741742,0.0,301664575.84179217,-231716687.48341212,0.0,-616.2355215790079,-801.935059913273,0.0
2610000.0,-3545577.584639523,2891341.9197878954,0.0,7.688839393132217,9.829912837563892,0.0,299432342.6972918,-234592990.54613316,0.0,-623.8846467570262,-795.9990283394238,0.0
2613600.0,-3517728.99862469,2926597.3123211768,0.0,7.782595865630449,9.756414513368256,0.0,297172675.43971395,-237447792.4082356,0.0,-631.4765804811984,-789.9900386260603,0.0
2617200.0,-3489544.163833044,2961586.5012608957,0.0,7.875644251489041,9.682021965916652,0.0,294885781.21276873,-240280831.41047508,0.0,-639.0106266893425,-783.9086419035293,0.0
2620800.0,-3461025.6447326466,2996306.279684726,0.0,7.967976019640178,9.606742018377618,0.0,292571869.6564486,-243091847.88965505,0.0,-646.4860946305548,-777.7553959485554,0.0
2624400.0,-3432176.0363850505,3030753.4653803715,0.0,8.059582704768781,9.530581575376113,0.0,290231152.88779336,-245880584.20246184,0.0,-653.9022989288005,-771.5308651330668,0.0
2628000.0,-3402997.964207188,3064924.901137669,0.0,8.150455908091834,9.453547622360011,0.0,287863845.4814268,-248646784.74911425,0.0,-661.2585596460111,-765.2356203724115,0.0
2631600.0,-3373494.083730465,3098817.4550383985,0.0,8.240587298131612,9.375647224959097,0.0,285470164.44986707,-251390195.99682584,0.0,-668.5542023446832,-758.8702390729665,0.0
2635200.0,-3343667.0803570775,3132428.0207437687,0.0,8.329968611482737,9.29688752833663,0.0,283050329.223613,-254110566.5030774,0.0,-675.7885581499728,-752.4353050791449,0.0
2638800.0,-3313519.6691135867,3165753.517779559,0.0,8.41859165357299,9.217275756533539,0.0,280604561.63100743,-256807646.9386975,0.0,-682.9609638112796,-745.9314086198076,0.0
2642400.0,-3283054.5944017572,3198790.891818884,0.0,8.506448299417805,9.136819211805316,0.0,278133085.8778796,-259481190.1107493,0.0,-690.0707617633149,-739.3591462540824,0.0
2646000.0,-3252274.629746698,3231537.1149625606,0.0,8.593530494368379,9.055525273951643,0.0,275636128.5269693,-262130950.98522103,0.0,-697.1173001866471,-732.7191208165962,0.0
2649600.0,-3221182.577542316,3263989.1860170476,0.0,8.679830254853323,8.973401399638849,0.0,273113918.4771333,-264756686.7095183,0.0,-704.0999330677213,-726.0119413621261,0.0
2653200.0,-3189781.2687941166,3296144.1307699312,0.0,8.765339669113795,8.890455121715224,0.0,270566686.942337,-267358156.6347562,0.0,-711.0180202583439,-719.2382231096736,0.0
2656800.0,-3158073.562859365,3327999.0022629374,0.0,8.850050897932014,8.806694048519278,0.0,267994667.430433,-269935122.33784896,0.0,-717.8709275346296,-712.3985873859668,0.0
2660400.0,-3126062.34718464,3359550.881062438,0.0,8.933956175353142,8.722125863181004,0.0,265398095.72172824,-272487347.6433952,0.0,-724.6580266554035,-705.4936615683966,0.0
2664000.0,-3093750.537040801,3390796.875527429,0.0,9.017047809400404,8.636758322916197,0.0,262777209.84734187,-275014598.6453568,0.0,-731.378695420054,-698.5240790273921,0.0
2667600.0,-3061141.07525539,3421734.1220749584,0.0,9.09931818278343,8.550599258313909,0.0,260132250.06735602,-277516643.72852916,0.0,-738.0323177258294,-691.4904790682392,0.0
2671200.0,-3028236.9319424992,3452359.785442975,0.0,9.180759753599714,8.46365657261709,0.0,257463458.84876114,-279993253.5898013,0.0,-744.6182836245752,-684.39350687235,0.0
2674800.0,-2995041.1042301254,3482671.058950573,0.0,9.261365056029158,8.375938240996506,0.0,254771080.84319818,-282444201.2592034,0.0,-751.135989378904,-677.2338134379863,0.0
2678400.0,-2961556.6159850326,3512665.1647556177,0.0,9.341126701021603,8.287452309817965,0.0,252055362.86449966,-284869262.1207395,0.0,-757.5848375177958,-670.0120555204438,0.0
2682000.0,-2927786.5175351584,3542339.3541097124,0.0,9.420037376977305,8.198206895902956,0.0,249316553.86603147,-287268213.93300515,0.0,-763.9642368916197,-662.7288955717019,0.0
2685600.0,-2893733.8853895795,3571690.907610499,0.0,9.498089850420284,8.10821018578274,0.0,246554904.91783768,-289640836.84958524,0.0,-770.2736027265761,-655.3850016795454,0.0
2689200.0,-2859401.8219560664,3600717.135451257,0.0,9.575276966664482,8.017470434945979,0.0,243770669.18359047,-291986913.43923295,0.0,-776.5123566785501,-647.9810475061636,0.0
2692800.0,-2824793.455256254,3629415.3776677875,0.0,9.651591650472671,7.925995967079967,0.0,240964101.89734724,-294306228.70582634,0.0,-782.6799268863743,-640.5177122262307,0.0
2696400.0,-2789911.9386384534,3657783.0043825465,0.0,9.72702690670804,7.833795173305527,0.0,238135460.34011698,-296598570.1081009,0.0,-788.7757480244948,-632.9956804644767,0.0
2700000.0,-2754760.4504881306,3685817.4160460215,0.0,9.801575820978412,7.740876511405659,0.0,235285003.81623816,-298863727.57915664,0.0,-794.7992613550337,-625.4156422327508,0.0
2703600.0,-2719342.193936079,3713516.0436753132,0.0,9.875231560273024,7.647248505047996,0.0,232412993.62957036,-301101493.54573786,0.0,-800.7499147792466,-617.7782928665861,0.0
2707200.0,-2683660.396564314,3740876.3490899107,0.0,9.947987373591802,7.552919743001143,0.0,229519693.05950162,-303311662.9472832,0.0,-806.627162888368,-610.0843329612693,0.0
2710800.0,-2647718.310109716,3767895.8251446337,0.0,10.019836592567092,7.457898878344989,0.0,226605367.33677393,-305494033.2547452,0.0,-812.4304670138396,-602.3344683074231,0.0
2714400.0,-2611519.210165446,3794571.99595972,0.0,10.090772632077767,7.362194627675026,0.0,223670283.61912906,-307648404.4891766,0.0,-818.1592952769174,-594.5294098261054,0.0
2718000.0,-2575066.39588017,3820902.4171480397,0.0,10.160788990855663,7.265815770300796,0.0,220714710.96677682,-309774579.24008256,0.0,-823.8131226376546,-586.6698735034335,0.0
2721600.0,-2538363.189655108,3846884.676039412,0.0,10.229879252084286,7.168771147438504,0.0,217738920.31768817,-311872362.68353647,0.0,-829.3914309432516,-578.7565803247368,0.0
2725200.0,-2501412.9368389444,3872516.3919020067,0.0,10.298037083989733,7.071069661397884,0.0,214743184.46271542,-313941562.6000578,0.0,-834.893708975773,-570.7902562082468,0.0
2728800.0,-2464219.005420627,3897795.216160805,0.0,10.36525624042377,6.972720274763404,0.0,211727778.02054185,-315981989.3922504,0.0,-840.3194524992238,-562.7716319383281,0.0
2732400.0,-2426784.7857200773,3922718.832613107,0.0,10.431530561439013,6.873732009569867,0.0,208692977.41246286,-317993456.10220015,0.0,-845.6681643059818,-554.7014430982587,0.0
2736000.0,-2389113.6900768466,3947284.9576410563,0.0,10.496853973856151,6.774113946472496,0.0,205639060.8370013,-319975778.42862886,0.0,-850.9393542625826,-546.5804300025634,0.0
2739600.0,-2351209.1525367456,3971491.3404211737,0.0,10.561220491823178,6.673875223911576,0.0,202566308.244359,-321928774.7438046,0.0,-856.1325393548505,-538.4093376289097,0.0
2743200.0,-2313074.628536473,3995335.7631308665,0.0,10.624624217366552,6.573025037271738,0.0,199475001.31070715,-323852266.1102056,0.0,-861.2472437323732,-530.1889155495697,0.0
2746800.0,-2274713.5945862755,4018816.0411519078,0.0,10.687059340934255,6.471572638035946,0.0,196365423.41231766,-325746076.29693705,0.0,-866.2829987523158,-521.9199178624556,0.0
2750400.0,-2236129.547950668,4041930.023270856,0.0,10.748520141930683,6.369527332934286,0.0,193237859.599538,-327610031.79589844,0.0,-871.2393430225679,-513.6031031217352,0.0
2754000.0,-2197326.0063272407,4064675.591876406,0.0,10.809000989243332,6.266898483087624,0.0,190092596.57061195,-329443961.8377006,0.0,-876.1158224442235,-505.23923426803424,0.0
2757600.0,-2158306.5075235902,4087050.6631536437,0.0,10.868496341761213,6.163695503146213,0.0,186929922.64534867,-331247698.40733075,0.0,-880.9119902533853,-496.8290785582305,0.0
2761200.0,-2119074.6091323923,4109053.187275192,0.0,10.927000748884971,6.05992786042333,0.0,183750127.73864228,-333021076.25956404,0.0,-885.6274070622939,-488.37340749484804,0.0
2764800.0,-2079633.888204659,4130681.148589229,0.0,10.984508851028625,5.955605074024027,0.0,180553503.33384496,-334763932.93412006,0.0,-890.2616408997736,-479.87299675505716,0.0
2768400.0,-2039987.9409212016,4151932.565804366,0.0,11.041015380112924,5.850736713969078,0.0,177340342.4559953,-336476108.77056336,0.0,-894.8142672509952,-471.3286261192867,0.0
2772000.0,-2000140.3822623335,4172805.492171352,0.0,11.096515160050231,5.745332400314192,0.0,174110939.64490503,-338157446.922946,0.0,-899.284869096548,-462.7410793994555,0.0
2775600.0,-1960094.845675843,4193298.01566161,0.0,11.15100310722092,5.639401802264587,0.0,170865590.92810616,-339807793.3741911,0.0,-903.6730369508213,-454.1111443668299,0.0
2779200.0,-1919854.982743267,4213408.259142573,0.0,11.204474230941228,5.532954637285002,0.0,167604593.7936613,-341426996.9502164,0.0,-907.9783688996878,-445.4396126795134,0.0
2782800.0,-1879424.4628444938,4233134.380549807,0.0,11.256923633922515,5.42600067020523,0.0,164328247.1628395,-343014909.3337954,0.0,-912.2004706374894,-436.7272798095761,0.0
2786400.0,-1838806.9728207304,4252474.573055908,0.0,11.308346512721894,5.318549712321255,0.0,161036851.3626603,-344571385.0781563,0.0,-916.338955503318,-427.97494496982955,0.0
2790000.0,-1798006.2166358626,4271427.065236154,0.0,11.358738158184192,5.210611620492076,0.0,157730708.0983083,-346096281.6203159,0.0,-920.3934445165908,-419.18341104025524,0.0
2793600.0,-1757025.915036238,4289990.121230899,0.0,11.40809395587519,5.1021962962323055,0.0,154410120.42542115,-347589459.294149,0.0,-924.3635664119154,-410.353484494092,0.0
2797200.0,-1715869.8052089082,4308162.040904694,0.0,11.456409386506108,4.993313684800626,0.0,151075392.72225305,-349050781.34319013,0.0,-928.2489576732413,-401.48597532359094,0.0
2800800.0,-1674541.640438355,4325941.160002113,0.0,11.503680026349295,4.883973774284183,0.0,147726830.6617168,-350480113.9331682,0.0,-932.0492625672955,-392.5816969654429,0.0
2804400.0,-1633045.18976174,4343325.850300286,0.0,11.549901547645081,4.77418659467901,0.0,144364741.18330666,-351877326.1642715,0.0,-935.7641331762978,-383.6414662258874,0.0
2808000.0,-1591384.2376227016,4360314.519758103,0.0,11.595069718999758,4.663962216966567,0.0,140989432.46490481,-353242290.083143,0.0,-939.3932294299543,-374.6661032055085,0.0
2811600.0,-1549562.5835237387,4376905.612662099,0.0,11.639180405774642,4.553310752186472,0.0,137601213.89447388,-354574880.6946041,0.0,-942.9362191367239,-365.65643122372495,0.0
2815200.0,-1507584.0416772075,4393097.609768982,0.0,11.682229570466198,4.442242350505525,0.0,134200396.04163823,-355874975.973106,0.0,-946.3927780143574,-356.61327674298263,0.0
2818800.0,-1465452.4406549667,4408889.028444811,0.0,11.724213273077172,4.3307672002831,0.0,130787290.6291567,-357142456.8739078,0.0,-949.762589719704,-347.537469292655,0.0
2822400.0,-1423171.6230367043,4424278.4228008,0.0,11.765127671478703,4.218895527132998,0.0,127362210.50428924,-358377207.34397984,0.0,-953.045345877784,-338.4298413926592,0.0
2826000.0,-1380745.4450569742,4439264.38382574,0.0,11.804969021763386,4.106637592981849,0.0,123925469.6100603,-359579114.33263206,0.0,-956.2407461101242,-329.29122847679565,0.0
2829600.0,-1338177.7762509808,4453845.539515023,0.0,11.843733678589242,3.9940036951241416,0.0,120477382.95642154,-360748067.8018654,0.0,-959.348498062353,-320.1224688158167,0.0
2833200.0,-1295472.4990991405,4468020.554996261,0.0,11.88141809551458,3.881004165273989,0.0,117018266.59131645,-361883960.73644596,0.0,-962.3683174310542,-310.92440344023345,0.0
2836800.0,-1252633.5086704544,4481788.132651483,0.0,11.918018825323689,3.7676493686136934,0.0,113548437.57164973,-362986689.15370077,0.0,-965.2999279898746,-301.69787606286604,0.0
2840400.0,-1209664.7122647245,4495147.0122359,0.0,11.953532520343371,3.6539497028392187,0.0,110068213.934164,-364056152.1130343,0.0,-968.143061614885,-292.44373300114626,0.0
2844000.0,-1166570.0290536485,4508095.970993238,0.0,11.987955932750243,3.5399155972026515,0.0,106577914.66622655,-365092251.7251651,0.0,-970.897458309191,-283.16282309917875,0.0
2847600.0,-1123353.3897208227,4520633.8237676015,0.0,12.021285914868805,3.42555751155174,0.0,103077859.67652881,-366094893.16108084,0.0,-973.5628662267919,-273.85599764956834,0.0
2851200.0,-1080018.7361006907,4532759.423111892,0.0,12.053519419460248,3.3108859353666045,0.0,99568369.76570135,-367063984.660712,0.0,-976.139041695685,-264.52411031502083,0.0
2854800.0,-1036570.0208164676,4544471.659392742,0.0,12.084653500001947,3.1959113867937035,0.0,96049766.59684707,-367999437.5413228,0.0,-978.6257492402133,-255.16801704972474,0.0
2858400.0,-993011.2069170754,4555769.46089197,0.0,12.11468531095765,3.080644411677152,0.0,92522372.6659952,-368901166.2056188,0.0,-981.0227616026549,-245.78857602052108,0.0
2862000.0,-949346.2675131231,4566651.793904545,0.0,12.143612108038313,2.965095582587479,0.0,88986511.27247904,-369769088.1495699,0.0,-983.3298597640514,-236.38664752786863,0.0
2865600.0,-905579.1854119633,4577117.662833047,0.0,12.171431248453557,2.8492754978479153,0.0,85442506.48924014,-370603123.9699493,0.0,-985.5468329642738,-226.96309392661212,0.0
2869200.0,-861713.9527518615,4587166.110278625,0.0,12.198140191153733,2.7331947805583026,0.0,81890683.13306141,-371403197.3715859,0.0,-987.6734787213234,-217.51877954656075,0.0
2872800.0,-817754.5706353113,4596796.217128424,0.0,12.223736497062575,2.616864077616716,0.0,78331366.73473237,-372169235.1743313,0.0,-989.709602849867,-208.05457061288442,0.0
2876400.0,-773705.0487615273,4606007.1026395,0.0,12.2482178293004,2.500294058738891,0.0,74764883.50914894,-372901167.3197394,0.0,-991.6550194790037,-198.57133516633513,0.0
2880000.0,-729569.4050581537,4614797.9245191915,0.0,12.271581953397853,2.383495415475548,0.0,71191560.32535057,-373598926.87745863,0.0,-993.5095510692618,-189.06994298330108,0.0
2883600.0,-685351.6653122185,4623167.879001955,0.0,12.293826737500174,2.2664788602277035,0.0,67611724.67649777,-374262450.0513361,0.0,-995.2730284288242,-179.55126549570076,0.0
2887200.0,-641055.862800371,4631116.200922647,0.0,12.31495015256196,2.1492551252600594,0.0,64025704.64979245,-374891676.1852331,0.0,-996.9452907289818,-170.0161757107249,0.0
2890800.0,-596686.0379184345,4638642.163786257,0.0,12.3349502725324,2.03183496171257,0.0,60433828.89634408,-375486547.76855147,0.0,-998.5261855188113,-160.46554813043315,0.0
2894400.0,-552246.2378103092,4645745.079834077,0.0,12.35382527453099,1.9142291386102697,0.0,56836426.60098443,-376047010.4414701,0.0,-1000.015568739078,-150.90025867121383,0.0
2898000.0,-507740.5159962601,4652424.300106298,0.0,12.371573439013687,1.7964484418714601,0.0,53233827.45203363,-376573012.9998913,0.0,-1001.4133047353619,-141.32118458311356,0.0
2901600.0,-463172.9320006241,4658679.214501043,0.0,12.388193149929485,1.6785036733143477,0.0,49626361.611020364,-377064507.4000967,0.0,-1002.7192662704045,-131.72920436904474,0.0
2905200.0,-418547.55097896996,4664509.251829812,0.0,12.403682894867428,1.5604056496622234,0.0,46014359.682359055,-377521448.76311195,0.0,-1003.9333345356775,-122.12519770387824,0.0
2908800.0,-373868.44334474724,4669913.87986935,0.0,12.41804126519401,1.4421652015472808,0.0,42398152.682986766,-377943795.37877995,0.0,-1005.0553991621698,-112.51004535342912,0.0
2912400.0,-329139.684395457,4674892.605409921,0.0,12.43126695618097,1.3237931725131624,0.0,38778072.01196273,-378331508.70954216,0.0,-1006.085358230394,-102.88462909334258,0.0
2916000.0,-284365.35393838043,4679444.974299993,0.0,12.443358767123474,1.20530041801633,0.0,35154449.42003318,-378684553.39392805,0.0,-1007.0231182796101,-93.24983162788806,0.0
2919600.0,-239549.535915899,4683570.571487327,0.0,12.454315601448648,1.0866978044263509,0.0,31527616.979164485,-379002897.24975175,0.0,-1007.8685943162659,-83.60653650866892,0.0
2923200.0,-194696.31803044135,4687269.021056457,0.0,12.464136466814487,0.9679962080251947,0.0,27897907.052047234,-379286511.2770159,0.0,-1008.6217098216532,-73.9556280532555,0.0
2926800.0,-149809.7913690915,4690539.9862625785,0.0,12.4728204751991,0.8492065140056335,0.0,24265652.261574194,-379535369.6605228,0.0,-1009.2823967587799,-64.29799126374877,0.0
2930400.0,-104894.05002789301,4693383.169561818,0.0,12.480366842980297,0.73033961546884,0.0,20631185.460294954,-379749449.7721919,0.0,-1009.8505955784563,-54.634511745282744,0.0
2934000.0,-59953.19073588437,4695798.312637901,0.0,12.486774891005515,0.6114064124212764,0.0,16994839.699850056,-379928732.1730838,0.0,-1010.3262552245951,-44.9660756244728,0.0
2937600.0,-14991.31247889968,4697785.196425202,0.0,12.49204404465207,0.4924178107709693,0.0,13356948.200387474,-380073200.6151311,0.0,-1010.7093331387264,-35.293569467817846,0.0
2941200.0,29987.483876829858,4699343.641128184,0.0,12.496173833877723,0.37338472132326306,0.0,9717844.319964243,-380182842.04257464,0.0,-1010.9997952637236,-25.61788020006381,0.0
2944800.0,74979.09596123926,4700473.506237219,0.0,12.499163893261569,0.2543180587761468,0.0,6077861.523936104,-380257646.5931065,0.0,-1011.197616046745,-15.939895022536177,0.0
2948400.0,119979.42027712276,4701174.690540794,0.0,12.501013962035241,0.13522874071524837,0.0,2437333.3543379684,-380297607.5987185,0.0,-1011.3027784413854,-6.260501331449186,0.0
2952000.0,164984.35257692166,4701447.132134097,0.0,12.501723884104422,0.016127686608589584,0.0,-1203406.600741948,-380302721.5862568,0.0,-1011.3152739090419,3.419413363800686,0.0
2955600.0,209989.7882395723,4701290.808423982,0.0,12.501293608060664,-0.10297418319880303,0.0,-4844024.73779148,-380272988.27768207,0.0,-1011.2351024194915,13.098961522349267,0.0
2959200.0,254991.622647379,4700705.73613032,0.0,12.49972318718352,-0.22206594849033806,0.0,-8484187.468504537,-380208410.590036,0.0,-1011.0622724506806,22.77725565357963,0.0
2962800.0,299985.75156287727,4699691.971283721,0.0,12.497012779432982,-0.3411366901832557,0.0,-12123561.250408957,-380108994.63511306,0.0,-1010.7968009877277,32.453408398829794,0.0
2966400.0,344968.07150565245,4698249.60921965,0.0,12.493162647432229,-0.4601754913338864,0.0,-15761812.617489334,-379974749.7188387,0.0,-1010.438713521138,42.12653261308553,0.0
2970000.0,389934.4801290787,4696378.784568912,0.0,12.488173158440684,-0.5791714381426778,0.0,-19398608.210802022,-379805688.34035283,0.0,-1009.9880440442307,51.79574144665061,0.0
2973600.0,434880.8765969436,4694079.671244528,0.0,12.482044784317395,-0.6981136209588961,0.0,-23033614.809079446,-379601826.1908001,0.0,-1009.4448350497797,61.4601484267869,0.0
2977200.0,479803.1619599234,4691352.4824249875,0.0,12.47477810147472,-0.8169911352849074,0.0,-26666499.35932091,-379363182.1518256,0.0,-1008.8091375258671,71.1188675393166,0.0
2980800.0,524697.2395318744,4688197.470533893,0.0,12.466373790822349,-0.9357930827799459,0.0,-30296929.007367056,-379089778.2937775,0.0,-1008.0810109509507,80.77101331017906,0.0
2984400.0,569559.015265905,4684614.927215993,0.0,12.456832637701641,-1.0545085722632737,0.0,-33924571.12845517,-378781639.87361586,0.0,-1007.2605232881461,90.4157008869345,0.0
2988000.0,614384.398130194,4680605.183309595,0.0,12.44615553181031,-1.1731267207166396,0.0,-37549093.357752465,-378438795.33252794,0.0,-1006.3477509787227,100.05204612020704,0.0
2991600.0,659169.3004835214,4676168.60881538,0.0,12.43434346711745,-1.2916366542859428,0.0,-41170163.62086455,-378061276.2932509,0.0,-1005.3427789348162,109.67916564505933,0.0
2995200.0,703909.638450474,4671305.612861614,0.0,12.421397541768904,-1.4100275092820076,0.0,-44787450.16431624,-377649117.5571016,0.0,-1004.2457005313566,119.29617696229136,0.0
2998800.0,748601.3322962947,4666016.643665748,0.0,12.407318957983001,-1.5282884331803752,0.0,-48400621.58600193,-377202357.1007133,0.0,-1003.0566175972135,128.90219851965563,0.0
3002400.0,793240.3068013384,4660302.188492432,0.0,12.392109021936669,-1.64640858562002,0.0,-52009346.865602665,-376721036.072481,0.0,-1001.775640405559,138.49634979298125,0.0
3006000.0,837822.4916351007,4654162.773607931,0.0,12.375769143641914,-1.764377139400896,0.0,-55613295.39496707,-376205198.7887141,0.0,-1000.4028876634499,148.07775136719926,0.0
3009600.0,882343.8217297841,4647598.96423095,0.0,12.358300836812717,-1.8821832814802217,0.0,-59212137.00845345,-375654892.72949845,0.0,-998.9384865006292,157.64552501726175,0.0
3013200.0,926800.2376533691,4640611.364479876,0.0,12.339705718722312,-1.999816213967408,0.0,-62805542.013230115,-375070168.5342663,0.0,-997.3825724575491,167.19879378894706,0.0
3016800.0,971187.6859821528,4633200.617316447,0.0,12.319985510050913,-2.1172651551175377,0.0,-66393181.21953119,-374451079.9970763,0.0,-995.7352894726157,176.7366820795435,0.0
3020400.0,1015502.1196727231,4625367.404485837,0.0,12.299142034723854,-2.2345193403233035,0.0,-69974725.97086516,-373797684.06160295,0.0,-993.9967898686567,186.25831571840428,0.0
3024000.0,1059739.4984333327,4617112.446453179,0.0,12.2771772197402,-2.3515680231053118,0.0,-73549848.17417322,-373110040.81583655,0.0,-992.1672343386151,195.7628220473659,0.0
3027600.0,1103895.789094638,4608436.502336529,0.0,12.25409309499181,-2.46840047610066,0.0,-77118220.3299348,-372388213.4864934,0.0,-990.2467919304676,205.24933000102249,0.0
